# rem_bits first_diff input_index output_index
9 0 0 512
8 0 512 2816
8 1 768 3840
8 2 1024 4736
8 3 1280 5504
8 4 1536 6144
8 5 1792 6656
8 6 2048 7040
8 7 2304 7296
8 8 2560 7424
7 0 2816 7424
7 1 2944 7872
7 2 3072 8256
7 3 3200 8576
7 4 3328 8832
7 5 3456 9024
7 6 3584 9152
7 7 3712 9216
7 1 3840 9216
7 2 3968 9600
7 3 4096 9920
7 4 4224 10176
7 5 4352 10368
7 6 4480 10496
7 7 4608 10560
7 2 4736 10560
7 3 4864 10880
7 4 4992 11136
7 5 5120 11328
7 6 5248 11456
7 7 5376 11520
7 3 5504 11520
7 4 5632 11776
7 5 5760 11968
7 6 5888 12096
7 7 6016 12160
7 4 6144 12160
7 5 6272 12352
7 6 6400 12480
7 7 6528 12544
7 5 6656 12544
7 6 6784 12672
7 7 6912 12736
7 6 7040 12736
7 7 7168 12800
7 7 7296 12800
6 0 7424 12800
6 1 7488 12992
6 2 7552 13152
6 3 7616 13280
6 4 7680 13376
6 5 7744 13440
6 6 7808 13472
6 1 7872 13472
6 2 7936 13632
6 3 8000 13760
6 4 8064 13856
6 5 8128 13920
6 6 8192 13952
6 2 8256 13952
6 3 8320 14080
6 4 8384 14176
6 5 8448 14240
6 6 8512 14272
6 3 8576 14272
6 4 8640 14368
6 5 8704 14432
6 6 8768 14464
6 4 8832 14464
6 5 8896 14528
6 6 8960 14560
6 5 9024 14560
6 6 9088 14592
6 6 9152 14592
6 1 9216 14592
6 2 9280 14752
6 3 9344 14880
6 4 9408 14976
6 5 9472 15040
6 6 9536 15072
6 2 9600 15072
6 3 9664 15200
6 4 9728 15296
6 5 9792 15360
6 6 9856 15392
6 3 9920 15392
6 4 9984 15488
6 5 10048 15552
6 6 10112 15584
6 4 10176 15584
6 5 10240 15648
6 6 10304 15680
6 5 10368 15680
6 6 10432 15712
6 6 10496 15712
6 2 10560 15712
6 3 10624 15840
6 4 10688 15936
6 5 10752 16000
6 6 10816 16032
6 3 10880 16032
6 4 10944 16128
6 5 11008 16192
6 6 11072 16224
6 4 11136 16224
6 5 11200 16288
