# rem_bits first_diff input_index output_index
7 0 0 128
6 0 128 576
6 1 192 768
6 2 256 928
6 3 320 1056
6 4 384 1152
6 5 448 1216
6 6 512 1248
5 0 576 1248
5 1 608 1328
5 2 640 1392
5 3 672 1440
5 4 704 1472
5 5 736 1488
5 1 768 1488
5 2 800 1552
5 3 832 1600
5 4 864 1632
5 5 896 1648
5 2 928 1648
5 3 960 1696
5 4 992 1728
5 5 1024 1744
5 3 1056 1744
5 4 1088 1776
5 5 1120 1792
5 4 1152 1792
5 5 1184 1808
5 5 1216 1808
4 0 1248 1808
4 1 1264 1840
4 2 1280 1864
4 3 1296 1880
4 4 1312 1888
4 1 1328 1888
4 2 1344 1912
4 3 1360 1928
4 4 1376 1936
4 2 1392 1936
4 3 1408 1952
4 4 1424 1960
4 3 1440 1960
4 4 1456 1968
4 4 1472 1968
4 1 1488 1968
4 2 1504 1992
4 3 1520 2008
4 4 1536 2016
4 2 1552 2016
4 3 1568 2032
4 4 1584 2040
4 3 1600 2040
4 4 1616 2048
4 4 1632 2048
4 2 1648 2048
4 3 1664 2064
4 4 1680 2072
4 3 1696 2072
4 4 1712 2080
4 4 1728 2080
4 3 1744 2080
4 4 1760 2088
4 4 1776 2088
4 4 1792 2088
3 0 1808 2088
3 1 1816 2100
3 2 1824 2108
3 3 1832 2112
3 1 1840 2112
3 2 1848 2120
3 3 1856 2124
3 2 1864 2124
3 3 1872 2128
3 3 1880 2128
3 1 1888 2128
3 2 1896 2136
3 3 1904 2140
3 2 1912 2140
3 3 1920 2144
3 3 1928 2144
3 2 1936 2144
3 3 1944 2148
3 3 1952 2148
3 3 1960 2148
3 1 1968 2148
3 2 1976 2156
3 3 1984 2160
3 2 1992 2160
3 3 2000 2164
3 3 2008 2164
3 2 2016 2164
3 3 2024 2168
3 3 2032 2168
3 3 2040 2168
3 2 2048 2168
3 3 2056 2172
3 3 2064 2172
3 3 2072 2172
3 3 2080 2172
2 0 2088 2172
2 1 2092 2176
2 2 2096 2178
2 1 2100 2178
2 2 2104 2180
2 2 2108 2180
2 1 2112 2180
2 2 2116 2182
2 2 2120 2182
2 2 2124 2182
2 1 2128 2182
2 2 2132 2184
2 2 2136 2184
2 2 2140 2184
2 2 2144 2184
2 1 2148 2184
2 2 2152 2186
2 2 2156 2186
2 2 2160 2186
2 2 2164 2186
2 2 2168 2186
1 0 2172 2186
1 1 2174 2187
1 1 2176 2187
1 1 2178 2187
1 1 2180 2187
1 1 2182 2187
1 1 2184 2187
0 0 2186 2187
