# rem_bits first_diff input_index output_index
11 0 0 2048
10 0 2048 13312
10 1 3072 18432
10 2 4096 23040
10 3 5120 27136
10 4 6144 30720
10 5 7168 33792
10 6 8192 36352
10 7 9216 38400
10 8 10240 39936
10 9 11264 40960
10 10 12288 41472
9 0 13312 41472
9 1 13824 43776
9 2 14336 45824
9 3 14848 47616
9 4 15360 49152
9 5 15872 50432
9 6 16384 51456
9 7 16896 52224
9 8 17408 52736
9 9 17920 52992
9 1 18432 52992
9 2 18944 55040
9 3 19456 56832
9 4 19968 58368
9 5 20480 59648
9 6 20992 60672
9 7 21504 61440
9 8 22016 61952
9 9 22528 62208
9 2 23040 62208
9 3 23552 64000
9 4 24064 65536
9 5 24576 66816
9 6 25088 67840
9 7 25600 68608
9 8 26112 69120
9 9 26624 69376
9 3 27136 69376
9 4 27648 70912
9 5 28160 72192
9 6 28672 73216
9 7 29184 73984
9 8 29696 74496
9 9 30208 74752
9 4 30720 74752
9 5 31232 76032
9 6 31744 77056
9 7 32256 77824
9 8 32768 78336
9 9 33280 78592
9 5 33792 78592
9 6 34304 79616
9 7 34816 80384
9 8 35328 80896
9 9 35840 81152
9 6 36352 81152
9 7 36864 81920
9 8 37376 82432
9 9 37888 82688
9 7 38400 82688
9 8 38912 83200
9 9 39424 83456
9 8 39936 83456
9 9 40448 83712
9 9 40960 83712
8 0 41472 83712
8 1 41728 84736
8 2 41984 85632
8 3 42240 86400
8 4 42496 87040
8 5 42752 87552
8 6 43008 87936
8 7 43264 88192
8 8 43520 88320
8 1 43776 88320
8 2 44032 89216
8 3 44288 89984
8 4 44544 90624
8 5 44800 91136
8 6 45056 91520
8 7 45312 91776
8 8 45568 91904
8 2 45824 91904
8 3 46080 92672
8 4 46336 93312
8 5 46592 93824
8 6 46848 94208
8 7 47104 94464
8 8 47360 94592
8 3 47616 94592
8 4 47872 95232
8 5 48128 95744
8 6 48384 96128
8 7 48640 96384
8 8 48896 96512
8 4 49152 96512
8 5 49408 97024
8 6 49664 97408
8 7 49920 97664
8 8 50176 97792
8 5 50432 97792
8 6 50688 98176
8 7 50944 98432
8 8 51200 98560
8 6 51456 98560
8 7 51712 98816
8 8 51968 98944
8 7 52224 98944
8 8 52480 99072
8 8 52736 99072
8 1 52992 99072
8 2 53248 99968
8 3 53504 100736
8 4 53760 101376
8 5 54016 101888
8 6 54272 102272
8 7 54528 102528
8 8 54784 102656
8 2 55040 102656
8 3 55296 103424
8 4 55552 104064
8 5 55808 104576
8 6 56064 104960
8 7 56320 105216
8 8 56576 105344
8 3 56832 105344
8 4 57088 105984
8 5 57344 106496
8 6 57600 106880
8 7 57856 107136
8 8 58112 107264
8 4 58368 107264
8 5 58624 107776
8 6 58880 108160
8 7 59136 108416
8 8 59392 108544
8 5 59648 108544
8 6 59904 108928
8 7 60160 109184
8 8 60416 109312
8 6 60672 109312
8 7 60928 109568
8 8 61184 109696
8 7 61440 109696
8 8 61696 109824
8 8 61952 109824
8 2 62208 109824
8 3 62464 110592
8 4 62720 111232
8 5 62976 111744
8 6 63232 112128
8 7 63488 112384
8 8 63744 112512
8 3 64000 112512
8 4 64256 113152
8 5 64512 113664
8 6 64768 114048
8 7 65024 114304
8 8 65280 114432
8 4 65536 114432
8 5 65792 114944
8 6 66048 115328
8 7 66304 115584
8 8 66560 115712
8 5 66816 115712
8 6 67072 116096
8 7 67328 116352
8 8 67584 116480
8 6 67840 116480
8 7 68096 116736
8 8 68352 116864
8 7 68608 116864
8 8 68864 116992
8 8 69120 116992
8 3 69376 116992
8 4 69632 117632
8 5 69888 118144
8 6 70144 118528
8 7 70400 118784
8 8 70656 118912
8 4 70912 118912
8 5 71168 119424
8 6 71424 119808
8 7 71680 120064
8 8 71936 120192
8 5 72192 120192
8 6 72448 120576
8 7 72704 120832
8 8 72960 120960
8 6 73216 120960
8 7 73472 121216
8 8 73728 121344
8 7 73984 121344
8 8 74240 121472
8 8 74496 121472
8 4 74752 121472
8 5 75008 121984
8 6 75264 122368
8 7 75520 122624
8 8 75776 122752
8 5 76032 122752
8 6 76288 123136
8 7 76544 123392
8 8 76800 123520
8 6 77056 123520
8 7 77312 123776
8 8 77568 123904
8 7 77824 123904
8 8 78080 124032
8 8 78336 124032
8 5 78592 124032
8 6 78848 124416
8 7 79104 124672
8 8 79360 124800
8 6 79616 124800
8 7 79872 125056
8 8 80128 125184
8 7 80384 125184
8 8 80640 125312
8 8 80896 125312
8 6 81152 125312
8 7 81408 125568
8 8 81664 125696
8 7 81920 125696
8 8 82176 125824
8 8 82432 125824
8 7 82688 125824
8 8 82944 125952
8 8 83200 125952
8 8 83456 125952
7 0 83712 125952
7 1 83840 126400
7 2 83968 126784
7 3 84096 127104
7 4 84224 127360
7 5 84352 127552
7 6 84480 127680
7 7 84608 127744
7 1 84736 127744
7 2 84864 128128
7 3 84992 128448
7 4 85120 128704
7 5 85248 128896
7 6 85376 129024
7 7 85504 129088
7 2 85632 129088
7 3 85760 129408
7 4 85888 129664
7 5 86016 129856
7 6 86144 129984
7 7 86272 130048
7 3 86400 130048
7 4 86528 130304
7 5 86656 130496
7 6 86784 130624
7 7 86912 130688
7 4 87040 130688
7 5 87168 130880
7 6 87296 131008
7 7 87424 131072
7 5 87552 131072
7 6 87680 131200
7 7 87808 131264
7 6 87936 131264
7 7 88064 131328
7 7 88192 131328
7 1 88320 131328
7 2 88448 131712
7 3 88576 132032
7 4 88704 132288
7 5 88832 132480
7 6 88960 132608
7 7 89088 132672
7 2 89216 132672
7 3 89344 132992
7 4 89472 133248
7 5 89600 133440
7 6 89728 133568
7 7 89856 133632
7 3 89984 133632
7 4 90112 133888
7 5 90240 134080
7 6 90368 134208
7 7 90496 134272
7 4 90624 134272
7 5 90752 134464
7 6 90880 134592
7 7 91008 134656
7 5 91136 134656
7 6 91264 134784
7 7 91392 134848
7 6 91520 134848
