# rem_bits first_diff input_index output_index
14 0 0 16384
13 0 16384 131072
12 0 131072 503808
11 0 503808 1249280
10 0 1249280 2274304
9 0 2274304 3299328
8 0 3299328 4068096
7 0 4068096 4507392
6 0 4507392 4699584
5 0 4699584 4763648
4 0 4763648 4779664
3 0 4779664 4782576
2 0 4782576 4782940
1 0 4782940 4782968
1 1 4782942 4782969
2 1 4782580 4782944
1 1 4782944 4782969
2 2 4782584 4782946
3 1 4779672 4782588
2 1 4782588 4782946
1 1 4782946 4782969
2 2 4782592 4782948
3 2 4779680 4782596
2 2 4782596 4782948
3 3 4779688 4782600
4 1 4763664 4779696
3 1 4779696 4782600
2 1 4782600 4782948
1 1 4782948 4782969
2 2 4782604 4782950
3 2 4779704 4782608
2 2 4782608 4782950
3 3 4779712 4782612
4 2 4763680 4779720
3 2 4779720 4782612
2 2 4782612 4782950
3 3 4779728 4782616
4 3 4763696 4779736
3 3 4779736 4782616
4 4 4763712 4779744
5 1 4699616 4763728
4 1 4763728 4779744
3 1 4779744 4782616
2 1 4782616 4782950
1 1 4782950 4782969
2 2 4782620 4782952
3 2 4779752 4782624
2 2 4782624 4782952
3 3 4779760 4782628
4 2 4763744 4779768
3 2 4779768 4782628
2 2 4782628 4782952
3 3 4779776 4782632
4 3 4763760 4779784
3 3 4779784 4782632
4 4 4763776 4779792
5 2 4699648 4763792
4 2 4763792 4779792
3 2 4779792 4782632
2 2 4782632 4782952
3 3 4779800 4782636
4 3 4763808 4779808
3 3 4779808 4782636
4 4 4763824 4779816
5 3 4699680 4763840
4 3 4763840 4779816
3 3 4779816 4782636
4 4 4763856 4779824
5 4 4699712 4763872
4 4 4763872 4779824
5 5 4699744 4763888
6 1 4507456 4699776
5 1 4699776 4763888
4 1 4763888 4779824
3 1 4779824 4782636
2 1 4782636 4782952
1 1 4782952 4782969
2 2 4782640 4782954
3 2 4779832 4782644
2 2 4782644 4782954
3 3 4779840 4782648
4 2 4763904 4779848
3 2 4779848 4782648
2 2 4782648 4782954
3 3 4779856 4782652
4 3 4763920 4779864
3 3 4779864 4782652
4 4 4763936 4779872
5 2 4699808 4763952
4 2 4763952 4779872
3 2 4779872 4782652
2 2 4782652 4782954
3 3 4779880 4782656
4 3 4763968 4779888
3 3 4779888 4782656
4 4 4763984 4779896
5 3 4699840 4764000
4 3 4764000 4779896
3 3 4779896 4782656
4 4 4764016 4779904
5 4 4699872 4764032
4 4 4764032 4779904
5 5 4699904 4764048
6 2 4507520 4699936
5 2 4699936 4764048
4 2 4764048 4779904
3 2 4779904 4782656
2 2 4782656 4782954
3 3 4779912 4782660
4 3 4764064 4779920
3 3 4779920 4782660
4 4 4764080 4779928
5 3 4699968 4764096
4 3 4764096 4779928
3 3 4779928 4782660
4 4 4764112 4779936
5 4 4700000 4764128
4 4 4764128 4779936
5 5 4700032 4764144
6 3 4507584 4700064
5 3 4700064 4764144
4 3 4764144 4779936
3 3 4779936 4782660
4 4 4764160 4779944
5 4 4700096 4764176
4 4 4764176 4779944
5 5 4700128 4764192
6 4 4507648 4700160
5 4 4700160 4764192
4 4 4764192 4779944
5 5 4700192 4764208
6 5 4507712 4700224
5 5 4700224 4764208
6 6 4507776 4700256
7 1 4068224 4507840
6 1 4507840 4700256
5 1 4700256 4764208
4 1 4764208 4779944
3 1 4779944 4782660
2 1 4782660 4782954
1 1 4782954 4782969
2 2 4782664 4782956
3 2 4779952 4782668
2 2 4782668 4782956
3 3 4779960 4782672
4 2 4764224 4779968
3 2 4779968 4782672
2 2 4782672 4782956
3 3 4779976 4782676
4 3 4764240 4779984
3 3 4779984 4782676
4 4 4764256 4779992
5 2 4700288 4764272
4 2 4764272 4779992
3 2 4779992 4782676
2 2 4782676 4782956
3 3 4780000 4782680
4 3 4764288 4780008
3 3 4780008 4782680
4 4 4764304 4780016
5 3 4700320 4764320
4 3 4764320 4780016
3 3 4780016 4782680
4 4 4764336 4780024
5 4 4700352 4764352
4 4 4764352 4780024
5 5 4700384 4764368
6 2 4507904 4700416
5 2 4700416 4764368
4 2 4764368 4780024
3 2 4780024 4782680
2 2 4782680 4782956
3 3 4780032 4782684
4 3 4764384 4780040
3 3 4780040 4782684
4 4 4764400 4780048
5 3 4700448 4764416
4 3 4764416 4780048
3 3 4780048 4782684
4 4 4764432 4780056
5 4 4700480 4764448
4 4 4764448 4780056
5 5 4700512 4764464
6 3 4507968 4700544
5 3 4700544 4764464
4 3 4764464 4780056
3 3 4780056 4782684
4 4 4764480 4780064
5 4 4700576 4764496
4 4 4764496 4780064
5 5 4700608 4764512
6 4 4508032 4700640
5 4 4700640 4764512
4 4 4764512 4780064
5 5 4700672 4764528
6 5 4508096 4700704
5 5 4700704 4764528
6 6 4508160 4700736
7 2 4068352 4508224
6 2 4508224 4700736
5 2 4700736 4764528
4 2 4764528 4780064
3 2 4780064 4782684
2 2 4782684 4782956
3 3 4780072 4782688
4 3 4764544 4780080
3 3 4780080 4782688
4 4 4764560 4780088
5 3 4700768 4764576
4 3 4764576 4780088
3 3 4780088 4782688
4 4 4764592 4780096
5 4 4700800 4764608
4 4 4764608 4780096
5 5 4700832 4764624
6 3 4508288 4700864
5 3 4700864 4764624
4 3 4764624 4780096
3 3 4780096 4782688
4 4 4764640 4780104
5 4 4700896 4764656
4 4 4764656 4780104
5 5 4700928 4764672
6 4 4508352 4700960
5 4 4700960 4764672
4 4 4764672 4780104
5 5 4700992 4764688
6 5 4508416 4701024
5 5 4701024 4764688
6 6 4508480 4701056
7 3 4068480 4508544
6 3 4508544 4701056
5 3 4701056 4764688
4 3 4764688 4780104
3 3 4780104 4782688
4 4 4764704 4780112
5 4 4701088 4764720
4 4 4764720 4780112
5 5 4701120 4764736
6 4 4508608 4701152
5 4 4701152 4764736
4 4 4764736 4780112
5 5 4701184 4764752
6 5 4508672 4701216
5 5 4701216 4764752
6 6 4508736 4701248
7 4 4068608 4508800
6 4 4508800 4701248
5 4 4701248 4764752
4 4 4764752 4780112
5 5 4701280 4764768
6 5 4508864 4701312
5 5 4701312 4764768
6 6 4508928 4701344
7 5 4068736 4508992
6 5 4508992 4701344
5 5 4701344 4764768
6 6 4509056 4701376
7 6 4068864 4509120
6 6 4509120 4701376
7 7 4068992 4509184
8 1 3299584 4069120
7 1 4069120 4509184
6 1 4509184 4701376
5 1 4701376 4764768
4 1 4764768 4780112
3 1 4780112 4782688
2 1 4782688 4782956
1 1 4782956 4782969
2 2 4782692 4782958
3 2 4780120 4782696
