# rem_bits first_diff input_index output_index
17 0 0 131072
16 0 131072 1245184
15 0 1245184 5701632
14 0 5701632 16842752
13 0 16842752 36339712
12 0 36339712 61685760
11 0 61685760 87031808
10 0 87031808 106946560
9 0 106946560 119393280
8 0 119393280 125616640
7 0 125616640 128105984
6 0 128105984 128898048
5 0 128898048 129096064
4 0 129096064 129134144
3 0 129134144 129139584
2 0 129139584 129140128
1 0 129140128 129140162
1 1 129140130 129140163
2 1 129139588 129140132
1 1 129140132 129140163
2 2 129139592 129140134
3 1 129134152 129139596
2 1 129139596 129140134
1 1 129140134 129140163
2 2 129139600 129140136
3 2 129134160 129139604
2 2 129139604 129140136
3 3 129134168 129139608
4 1 129096080 129134176
3 1 129134176 129139608
2 1 129139608 129140136
1 1 129140136 129140163
2 2 129139612 129140138
3 2 129134184 129139616
2 2 129139616 129140138
3 3 129134192 129139620
4 2 129096096 129134200
3 2 129134200 129139620
2 2 129139620 129140138
3 3 129134208 129139624
4 3 129096112 129134216
3 3 129134216 129139624
4 4 129096128 129134224
5 1 128898080 129096144
4 1 129096144 129134224
3 1 129134224 129139624
2 1 129139624 129140138
1 1 129140138 129140163
2 2 129139628 129140140
3 2 129134232 129139632
2 2 129139632 129140140
3 3 129134240 129139636
4 2 129096160 129134248
3 2 129134248 129139636
2 2 129139636 129140140
3 3 129134256 129139640
4 3 129096176 129134264
3 3 129134264 129139640
4 4 129096192 129134272
5 2 128898112 129096208
4 2 129096208 129134272
3 2 129134272 129139640
2 2 129139640 129140140
3 3 129134280 129139644
4 3 129096224 129134288
3 3 129134288 129139644
4 4 129096240 129134296
5 3 128898144 129096256
4 3 129096256 129134296
3 3 129134296 129139644
4 4 129096272 129134304
5 4 128898176 129096288
4 4 129096288 129134304
5 5 128898208 129096304
6 1 128106048 128898240
5 1 128898240 129096304
4 1 129096304 129134304
3 1 129134304 129139644
2 1 129139644 129140140
1 1 129140140 129140163
2 2 129139648 129140142
3 2 129134312 129139652
2 2 129139652 129140142
3 3 129134320 129139656
4 2 129096320 129134328
3 2 129134328 129139656
2 2 129139656 129140142
3 3 129134336 129139660
4 3 129096336 129134344
3 3 129134344 129139660
4 4 129096352 129134352
5 2 128898272 129096368
4 2 129096368 129134352
3 2 129134352 129139660
2 2 129139660 129140142
3 3 129134360 129139664
4 3 129096384 129134368
3 3 129134368 129139664
4 4 129096400 129134376
5 3 128898304 129096416
4 3 129096416 129134376
3 3 129134376 129139664
4 4 129096432 129134384
5 4 128898336 129096448
4 4 129096448 129134384
5 5 128898368 129096464
6 2 128106112 128898400
5 2 128898400 129096464
4 2 129096464 129134384
3 2 129134384 129139664
2 2 129139664 129140142
3 3 129134392 129139668
4 3 129096480 129134400
3 3 129134400 129139668
4 4 129096496 129134408
5 3 128898432 129096512
4 3 129096512 129134408
3 3 129134408 129139668
4 4 129096528 129134416
5 4 128898464 129096544
4 4 129096544 129134416
5 5 128898496 129096560
6 3 128106176 128898528
5 3 128898528 129096560
4 3 129096560 129134416
3 3 129134416 129139668
4 4 129096576 129134424
5 4 128898560 129096592
4 4 129096592 129134424
5 5 128898592 129096608
6 4 128106240 128898624
5 4 128898624 129096608
4 4 129096608 129134424
5 5 128898656 129096624
6 5 128106304 128898688
5 5 128898688 129096624
6 6 128106368 128898720
7 1 125616768 128106432
6 1 128106432 128898720
5 1 128898720 129096624
4 1 129096624 129134424
3 1 129134424 129139668
2 1 129139668 129140142
1 1 129140142 129140163
2 2 129139672 129140144
