# rem_bits first_diff input_index output_index
11 0 0 2048
10 0 2048 13312
9 0 13312 41472
8 0 41472 83712
7 0 83712 125952
6 0 125952 155520
5 0 155520 170304
4 0 170304 175584
3 0 175584 176904
2 0 176904 177124
1 0 177124 177146
1 1 177126 177147
2 1 176908 177128
1 1 177128 177147
2 2 176912 177130
3 1 175592 176916
2 1 176916 177130
1 1 177130 177147
2 2 176920 177132
3 2 175600 176924
2 2 176924 177132
3 3 175608 176928
4 1 170320 175616
3 1 175616 176928
2 1 176928 177132
1 1 177132 177147
2 2 176932 177134
3 2 175624 176936
2 2 176936 177134
3 3 175632 176940
4 2 170336 175640
3 2 175640 176940
2 2 176940 177134
3 3 175648 176944
4 3 170352 175656
3 3 175656 176944
4 4 170368 175664
5 1 155552 170384
4 1 170384 175664
3 1 175664 176944
2 1 176944 177134
1 1 177134 177147
2 2 176948 177136
3 2 175672 176952
2 2 176952 177136
3 3 175680 176956
4 2 170400 175688
3 2 175688 176956
2 2 176956 177136
3 3 175696 176960
4 3 170416 175704
3 3 175704 176960
4 4 170432 175712
5 2 155584 170448
4 2 170448 175712
3 2 175712 176960
2 2 176960 177136
3 3 175720 176964
4 3 170464 175728
3 3 175728 176964
4 4 170480 175736
5 3 155616 170496
4 3 170496 175736
3 3 175736 176964
4 4 170512 175744
5 4 155648 170528
4 4 170528 175744
5 5 155680 170544
6 1 126016 155712
5 1 155712 170544
4 1 170544 175744
3 1 175744 176964
2 1 176964 177136
1 1 177136 177147
2 2 176968 177138
3 2 175752 176972
2 2 176972 177138
3 3 175760 176976
4 2 170560 175768
3 2 175768 176976
2 2 176976 177138
3 3 175776 176980
4 3 170576 175784
3 3 175784 176980
4 4 170592 175792
5 2 155744 170608
4 2 170608 175792
3 2 175792 176980
2 2 176980 177138
3 3 175800 176984
4 3 170624 175808
3 3 175808 176984
4 4 170640 175816
5 3 155776 170656
4 3 170656 175816
3 3 175816 176984
4 4 170672 175824
5 4 155808 170688
4 4 170688 175824
5 5 155840 170704
6 2 126080 155872
5 2 155872 170704
4 2 170704 175824
3 2 175824 176984
2 2 176984 177138
3 3 175832 176988
4 3 170720 175840
3 3 175840 176988
4 4 170736 175848
5 3 155904 170752
4 3 170752 175848
3 3 175848 176988
4 4 170768 175856
5 4 155936 170784
4 4 170784 175856
5 5 155968 170800
6 3 126144 156000
5 3 156000 170800
4 3 170800 175856
3 3 175856 176988
4 4 170816 175864
5 4 156032 170832
4 4 170832 175864
5 5 156064 170848
6 4 126208 156096
5 4 156096 170848
4 4 170848 175864
5 5 156128 170864
6 5 126272 156160
5 5 156160 170864
6 6 126336 156192
7 1 83840 126400
6 1 126400 156192
5 1 156192 170864
4 1 170864 175864
3 1 175864 176988
2 1 176988 177138
1 1 177138 177147
2 2 176992 177140
3 2 175872 176996
2 2 176996 177140
3 3 175880 177000
4 2 170880 175888
3 2 175888 177000
2 2 177000 177140
3 3 175896 177004
4 3 170896 175904
3 3 175904 177004
4 4 170912 175912
5 2 156224 170928
4 2 170928 175912
3 2 175912 177004
2 2 177004 177140
3 3 175920 177008
4 3 170944 175928
3 3 175928 177008
4 4 170960 175936
5 3 156256 170976
4 3 170976 175936
3 3 175936 177008
4 4 170992 175944
5 4 156288 171008
4 4 171008 175944
5 5 156320 171024
6 2 126464 156352
5 2 156352 171024
4 2 171024 175944
3 2 175944 177008
2 2 177008 177140
3 3 175952 177012
4 3 171040 175960
3 3 175960 177012
4 4 171056 175968
5 3 156384 171072
4 3 171072 175968
3 3 175968 177012
4 4 171088 175976
5 4 156416 171104
4 4 171104 175976
5 5 156448 171120
6 3 126528 156480
5 3 156480 171120
4 3 171120 175976
3 3 175976 177012
4 4 171136 175984
5 4 156512 171152
4 4 171152 175984
5 5 156544 171168
6 4 126592 156576
5 4 156576 171168
4 4 171168 175984
5 5 156608 171184
6 5 126656 156640
5 5 156640 171184
6 6 126720 156672
7 2 83968 126784
6 2 126784 156672
5 2 156672 171184
4 2 171184 175984
3 2 175984 177012
2 2 177012 177140
3 3 175992 177016
4 3 171200 176000
3 3 176000 177016
4 4 171216 176008
5 3 156704 171232
4 3 171232 176008
3 3 176008 177016
4 4 171248 176016
5 4 156736 171264
4 4 171264 176016
5 5 156768 171280
6 3 126848 156800
5 3 156800 171280
4 3 171280 176016
3 3 176016 177016
4 4 171296 176024
5 4 156832 171312
4 4 171312 176024
5 5 156864 171328
6 4 126912 156896
5 4 156896 171328
4 4 171328 176024
5 5 156928 171344
6 5 126976 156960
5 5 156960 171344
6 6 127040 156992
7 3 84096 127104
6 3 127104 156992
5 3 156992 171344
4 3 171344 176024
3 3 176024 177016
4 4 171360 176032
5 4 157024 171376
4 4 171376 176032
5 5 157056 171392
6 4 127168 157088
5 4 157088 171392
4 4 171392 176032
5 5 157120 171408
6 5 127232 157152
5 5 157152 171408
6 6 127296 157184
7 4 84224 127360
6 4 127360 157184
5 4 157184 171408
4 4 171408 176032
5 5 157216 171424
6 5 127424 157248
5 5 157248 171424
6 6 127488 157280
7 5 84352 127552
6 5 127552 157280
5 5 157280 171424
6 6 127616 157312
7 6 84480 127680
6 6 127680 157312
7 7 84608 127744
8 1 41728 84736
7 1 84736 127744
6 1 127744 157312
5 1 157312 171424
4 1 171424 176032
3 1 176032 177016
2 1 177016 177140
1 1 177140 177147
2 2 177020 177142
3 2 176040 177024
2 2 177024 177142
3 3 176048 177028
4 2 171440 176056
3 2 176056 177028
2 2 177028 177142
3 3 176064 177032
4 3 171456 176072
3 3 176072 177032
4 4 171472 176080
5 2 157344 171488
4 2 171488 176080
3 2 176080 177032
2 2 177032 177142
3 3 176088 177036
4 3 171504 176096
3 3 176096 177036
4 4 171520 176104
5 3 157376 171536
4 3 171536 176104
3 3 176104 177036
4 4 171552 176112
5 4 157408 171568
4 4 171568 176112
5 5 157440 171584
6 2 127808 157472
5 2 157472 171584
