# rem_bits first_diff input_index output_index
10 0 0 1024
9 0 1024 6144
8 0 6144 17664
7 0 17664 33024
6 0 33024 46464
5 0 46464 54528
4 0 54528 57888
3 0 57888 58848
2 0 58848 59028
1 0 59028 59048
1 1 59030 59049
2 1 58852 59032
1 1 59032 59049
2 2 58856 59034
3 1 57896 58860
2 1 58860 59034
1 1 59034 59049
2 2 58864 59036
3 2 57904 58868
2 2 58868 59036
3 3 57912 58872
4 1 54544 57920
3 1 57920 58872
2 1 58872 59036
1 1 59036 59049
2 2 58876 59038
3 2 57928 58880
2 2 58880 59038
3 3 57936 58884
4 2 54560 57944
3 2 57944 58884
2 2 58884 59038
3 3 57952 58888
4 3 54576 57960
3 3 57960 58888
4 4 54592 57968
5 1 46496 54608
4 1 54608 57968
3 1 57968 58888
2 1 58888 59038
1 1 59038 59049
2 2 58892 59040
3 2 57976 58896
2 2 58896 59040
3 3 57984 58900
4 2 54624 57992
3 2 57992 58900
2 2 58900 59040
3 3 58000 58904
4 3 54640 58008
3 3 58008 58904
4 4 54656 58016
5 2 46528 54672
4 2 54672 58016
3 2 58016 58904
2 2 58904 59040
3 3 58024 58908
4 3 54688 58032
3 3 58032 58908
4 4 54704 58040
5 3 46560 54720
4 3 54720 58040
3 3 58040 58908
4 4 54736 58048
5 4 46592 54752
4 4 54752 58048
5 5 46624 54768
6 1 33088 46656
5 1 46656 54768
4 1 54768 58048
3 1 58048 58908
2 1 58908 59040
1 1 59040 59049
2 2 58912 59042
3 2 58056 58916
2 2 58916 59042
3 3 58064 58920
4 2 54784 58072
3 2 58072 58920
2 2 58920 59042
3 3 58080 58924
4 3 54800 58088
3 3 58088 58924
4 4 54816 58096
5 2 46688 54832
4 2 54832 58096
3 2 58096 58924
2 2 58924 59042
3 3 58104 58928
4 3 54848 58112
3 3 58112 58928
4 4 54864 58120
5 3 46720 54880
4 3 54880 58120
3 3 58120 58928
4 4 54896 58128
5 4 46752 54912
4 4 54912 58128
5 5 46784 54928
6 2 33152 46816
5 2 46816 54928
4 2 54928 58128
3 2 58128 58928
2 2 58928 59042
3 3 58136 58932
4 3 54944 58144
3 3 58144 58932
4 4 54960 58152
5 3 46848 54976
4 3 54976 58152
3 3 58152 58932
4 4 54992 58160
5 4 46880 55008
4 4 55008 58160
5 5 46912 55024
6 3 33216 46944
5 3 46944 55024
4 3 55024 58160
3 3 58160 58932
4 4 55040 58168
5 4 46976 55056
4 4 55056 58168
5 5 47008 55072
6 4 33280 47040
5 4 47040 55072
4 4 55072 58168
5 5 47072 55088
6 5 33344 47104
5 5 47104 55088
6 6 33408 47136
7 1 17792 33472
6 1 33472 47136
5 1 47136 55088
4 1 55088 58168
3 1 58168 58932
2 1 58932 59042
1 1 59042 59049
2 2 58936 59044
3 2 58176 58940
2 2 58940 59044
3 3 58184 58944
4 2 55104 58192
3 2 58192 58944
2 2 58944 59044
3 3 58200 58948
4 3 55120 58208
3 3 58208 58948
4 4 55136 58216
5 2 47168 55152
4 2 55152 58216
3 2 58216 58948
2 2 58948 59044
3 3 58224 58952
4 3 55168 58232
3 3 58232 58952
4 4 55184 58240
5 3 47200 55200
4 3 55200 58240
3 3 58240 58952
4 4 55216 58248
5 4 47232 55232
4 4 55232 58248
5 5 47264 55248
6 2 33536 47296
5 2 47296 55248
4 2 55248 58248
3 2 58248 58952
2 2 58952 59044
3 3 58256 58956
4 3 55264 58264
3 3 58264 58956
4 4 55280 58272
5 3 47328 55296
4 3 55296 58272
3 3 58272 58956
4 4 55312 58280
5 4 47360 55328
4 4 55328 58280
5 5 47392 55344
6 3 33600 47424
5 3 47424 55344
4 3 55344 58280
3 3 58280 58956
4 4 55360 58288
5 4 47456 55376
4 4 55376 58288
5 5 47488 55392
6 4 33664 47520
5 4 47520 55392
4 4 55392 58288
5 5 47552 55408
6 5 33728 47584
5 5 47584 55408
6 6 33792 47616
7 2 17920 33856
6 2 33856 47616
5 2 47616 55408
4 2 55408 58288
3 2 58288 58956
2 2 58956 59044
3 3 58296 58960
4 3 55424 58304
3 3 58304 58960
4 4 55440 58312
5 3 47648 55456
4 3 55456 58312
3 3 58312 58960
4 4 55472 58320
5 4 47680 55488
4 4 55488 58320
