# rem_bits first_diff input_index output_index
7 0 0 128
6 0 128 576
5 0 576 1248
4 0 1248 1808
3 0 1808 2088
2 0 2088 2172
1 0 2172 2186
1 1 2174 2187
2 1 2092 2176
1 1 2176 2187
2 2 2096 2178
3 1 1816 2100
2 1 2100 2178
1 1 2178 2187
2 2 2104 2180
3 2 1824 2108
2 2 2108 2180
3 3 1832 2112
4 1 1264 1840
3 1 1840 2112
2 1 2112 2180
1 1 2180 2187
2 2 2116 2182
3 2 1848 2120
2 2 2120 2182
3 3 1856 2124
4 2 1280 1864
3 2 1864 2124
2 2 2124 2182
3 3 1872 2128
4 3 1296 1880
3 3 1880 2128
4 4 1312 1888
5 1 608 1328
4 1 1328 1888
3 1 1888 2128
2 1 2128 2182
1 1 2182 2187
2 2 2132 2184
3 2 1896 2136
2 2 2136 2184
3 3 1904 2140
4 2 1344 1912
3 2 1912 2140
2 2 2140 2184
3 3 1920 2144
4 3 1360 1928
3 3 1928 2144
4 4 1376 1936
5 2 640 1392
4 2 1392 1936
3 2 1936 2144
2 2 2144 2184
3 3 1944 2148
4 3 1408 1952
3 3 1952 2148
4 4 1424 1960
5 3 672 1440
4 3 1440 1960
3 3 1960 2148
4 4 1456 1968
5 4 704 1472
4 4 1472 1968
5 5 736 1488
6 1 192 768
5 1 768 1488
4 1 1488 1968
3 1 1968 2148
2 1 2148 2184
1 1 2184 2187
2 2 2152 2186
3 2 1976 2156
2 2 2156 2186
3 3 1984 2160
4 2 1504 1992
3 2 1992 2160
2 2 2160 2186
3 3 2000 2164
4 3 1520 2008
3 3 2008 2164
4 4 1536 2016
5 2 800 1552
4 2 1552 2016
3 2 2016 2164
2 2 2164 2186
3 3 2024 2168
4 3 1568 2032
3 3 2032 2168
4 4 1584 2040
5 3 832 1600
4 3 1600 2040
3 3 2040 2168
4 4 1616 2048
5 4 864 1632
4 4 1632 2048
5 5 896 1648
6 2 256 928
5 2 928 1648
4 2 1648 2048
3 2 2048 2168
2 2 2168 2186
3 3 2056 2172
4 3 1664 2064
3 3 2064 2172
4 4 1680 2072
5 3 960 1696
4 3 1696 2072
3 3 2072 2172
4 4 1712 2080
5 4 992 1728
4 4 1728 2080
5 5 1024 1744
6 3 320 1056
5 3 1056 1744
4 3 1744 2080
3 3 2080 2172
4 4 1760 2088
5 4 1088 1776
4 4 1776 2088
5 5 1120 1792
6 4 384 1152
5 4 1152 1792
4 4 1792 2088
5 5 1184 1808
6 5 448 1216
5 5 1216 1808
6 6 512 1248
