# rem_bits first_diff input_index output_index
13 0 0 8192
12 0 8192 61440
11 0 61440 221184
10 0 221184 514048
9 0 514048 880128
8 0 880128 1209600
7 0 1209600 1429248
6 0 1429248 1539072
5 0 1539072 1580256
4 0 1580256 1591696
3 0 1591696 1593984
2 0 1593984 1594296
1 0 1594296 1594322
1 1 1594298 1594323
2 1 1593988 1594300
1 1 1594300 1594323
2 2 1593992 1594302
3 1 1591704 1593996
2 1 1593996 1594302
1 1 1594302 1594323
2 2 1594000 1594304
3 2 1591712 1594004
2 2 1594004 1594304
3 3 1591720 1594008
4 1 1580272 1591728
3 1 1591728 1594008
2 1 1594008 1594304
1 1 1594304 1594323
2 2 1594012 1594306
3 2 1591736 1594016
2 2 1594016 1594306
3 3 1591744 1594020
4 2 1580288 1591752
3 2 1591752 1594020
2 2 1594020 1594306
3 3 1591760 1594024
4 3 1580304 1591768
3 3 1591768 1594024
4 4 1580320 1591776
5 1 1539104 1580336
4 1 1580336 1591776
3 1 1591776 1594024
2 1 1594024 1594306
1 1 1594306 1594323
2 2 1594028 1594308
3 2 1591784 1594032
2 2 1594032 1594308
3 3 1591792 1594036
4 2 1580352 1591800
3 2 1591800 1594036
2 2 1594036 1594308
3 3 1591808 1594040
4 3 1580368 1591816
3 3 1591816 1594040
4 4 1580384 1591824
5 2 1539136 1580400
4 2 1580400 1591824
3 2 1591824 1594040
2 2 1594040 1594308
3 3 1591832 1594044
4 3 1580416 1591840
3 3 1591840 1594044
4 4 1580432 1591848
5 3 1539168 1580448
4 3 1580448 1591848
3 3 1591848 1594044
4 4 1580464 1591856
5 4 1539200 1580480
4 4 1580480 1591856
5 5 1539232 1580496
6 1 1429312 1539264
5 1 1539264 1580496
4 1 1580496 1591856
3 1 1591856 1594044
2 1 1594044 1594308
1 1 1594308 1594323
2 2 1594048 1594310
3 2 1591864 1594052
2 2 1594052 1594310
3 3 1591872 1594056
4 2 1580512 1591880
3 2 1591880 1594056
2 2 1594056 1594310
3 3 1591888 1594060
4 3 1580528 1591896
3 3 1591896 1594060
4 4 1580544 1591904
5 2 1539296 1580560
4 2 1580560 1591904
3 2 1591904 1594060
2 2 1594060 1594310
3 3 1591912 1594064
4 3 1580576 1591920
3 3 1591920 1594064
4 4 1580592 1591928
5 3 1539328 1580608
4 3 1580608 1591928
3 3 1591928 1594064
4 4 1580624 1591936
5 4 1539360 1580640
4 4 1580640 1591936
5 5 1539392 1580656
6 2 1429376 1539424
5 2 1539424 1580656
