# rem_bits first_diff input_index output_index
16 0 0 65536
15 0 65536 589824
14 0 589824 2555904
13 0 2555904 7143424
12 0 7143424 14598144
11 0 14598144 23543808
10 0 23543808 31744000
9 0 31744000 37601280
8 0 37601280 40896000
7 0 40896000 42360320
6 0 42360320 42872832
5 0 42872832 43012608
4 0 43012608 43041728
3 0 43041728 43046208
2 0 43046208 43046688
1 0 43046688 43046720
1 1 43046690 43046721
2 1 43046212 43046692
1 1 43046692 43046721
2 2 43046216 43046694
3 1 43041736 43046220
2 1 43046220 43046694
1 1 43046694 43046721
2 2 43046224 43046696
3 2 43041744 43046228
2 2 43046228 43046696
3 3 43041752 43046232
4 1 43012624 43041760
3 1 43041760 43046232
2 1 43046232 43046696
1 1 43046696 43046721
2 2 43046236 43046698
3 2 43041768 43046240
2 2 43046240 43046698
3 3 43041776 43046244
4 2 43012640 43041784
3 2 43041784 43046244
2 2 43046244 43046698
3 3 43041792 43046248
4 3 43012656 43041800
3 3 43041800 43046248
4 4 43012672 43041808
5 1 42872864 43012688
4 1 43012688 43041808
3 1 43041808 43046248
2 1 43046248 43046698
1 1 43046698 43046721
2 2 43046252 43046700
3 2 43041816 43046256
2 2 43046256 43046700
3 3 43041824 43046260
4 2 43012704 43041832
3 2 43041832 43046260
2 2 43046260 43046700
3 3 43041840 43046264
4 3 43012720 43041848
3 3 43041848 43046264
4 4 43012736 43041856
5 2 42872896 43012752
4 2 43012752 43041856
3 2 43041856 43046264
2 2 43046264 43046700
3 3 43041864 43046268
4 3 43012768 43041872
3 3 43041872 43046268
4 4 43012784 43041880
5 3 42872928 43012800
4 3 43012800 43041880
3 3 43041880 43046268
4 4 43012816 43041888
5 4 42872960 43012832
4 4 43012832 43041888
5 5 42872992 43012848
6 1 42360384 42873024
5 1 42873024 43012848
4 1 43012848 43041888
3 1 43041888 43046268
2 1 43046268 43046700
1 1 43046700 43046721
2 2 43046272 43046702
3 2 43041896 43046276
2 2 43046276 43046702
3 3 43041904 43046280
4 2 43012864 43041912
3 2 43041912 43046280
2 2 43046280 43046702
3 3 43041920 43046284
4 3 43012880 43041928
3 3 43041928 43046284
4 4 43012896 43041936
5 2 42873056 43012912
4 2 43012912 43041936
3 2 43041936 43046284
2 2 43046284 43046702
3 3 43041944 43046288
4 3 43012928 43041952
3 3 43041952 43046288
4 4 43012944 43041960
5 3 42873088 43012960
4 3 43012960 43041960
3 3 43041960 43046288
4 4 43012976 43041968
5 4 42873120 43012992
4 4 43012992 43041968
5 5 42873152 43013008
6 2 42360448 42873184
5 2 42873184 43013008
4 2 43013008 43041968
3 2 43041968 43046288
2 2 43046288 43046702
3 3 43041976 43046292
4 3 43013024 43041984
3 3 43041984 43046292
4 4 43013040 43041992
5 3 42873216 43013056
4 3 43013056 43041992
3 3 43041992 43046292
4 4 43013072 43042000
5 4 42873248 43013088
4 4 43013088 43042000
5 5 42873280 43013104
6 3 42360512 42873312
5 3 42873312 43013104
4 3 43013104 43042000
3 3 43042000 43046292
4 4 43013120 43042008
5 4 42873344 43013136
4 4 43013136 43042008
5 5 42873376 43013152
6 4 42360576 42873408
5 4 42873408 43013152
4 4 43013152 43042008
5 5 42873440 43013168
6 5 42360640 42873472
