# rem_bits first_diff input_index output_index
12 0 0 4096
11 0 4096 28672
10 0 28672 96256
9 0 96256 208896
8 0 208896 335616
7 0 335616 436992
6 0 436992 496128
5 0 496128 521472
4 0 521472 529392
3 0 529392 531152
2 0 531152 531416
1 0 531416 531440
1 1 531418 531441
2 1 531156 531420
1 1 531420 531441
2 2 531160 531422
3 1 529400 531164
2 1 531164 531422
1 1 531422 531441
2 2 531168 531424
3 2 529408 531172
2 2 531172 531424
3 3 529416 531176
4 1 521488 529424
3 1 529424 531176
2 1 531176 531424
1 1 531424 531441
2 2 531180 531426
3 2 529432 531184
2 2 531184 531426
3 3 529440 531188
4 2 521504 529448
3 2 529448 531188
2 2 531188 531426
3 3 529456 531192
4 3 521520 529464
3 3 529464 531192
4 4 521536 529472
5 1 496160 521552
4 1 521552 529472
3 1 529472 531192
2 1 531192 531426
1 1 531426 531441
2 2 531196 531428
3 2 529480 531200
2 2 531200 531428
3 3 529488 531204
4 2 521568 529496
3 2 529496 531204
2 2 531204 531428
3 3 529504 531208
4 3 521584 529512
3 3 529512 531208
4 4 521600 529520
5 2 496192 521616
4 2 521616 529520
3 2 529520 531208
2 2 531208 531428
3 3 529528 531212
4 3 521632 529536
3 3 529536 531212
4 4 521648 529544
5 3 496224 521664
4 3 521664 529544
3 3 529544 531212
4 4 521680 529552
5 4 496256 521696
4 4 521696 529552
5 5 496288 521712
6 1 437056 496320
5 1 496320 521712
4 1 521712 529552
3 1 529552 531212
2 1 531212 531428
1 1 531428 531441
2 2 531216 531430
3 2 529560 531220
2 2 531220 531430
3 3 529568 531224
4 2 521728 529576
3 2 529576 531224
2 2 531224 531430
3 3 529584 531228
4 3 521744 529592
3 3 529592 531228
4 4 521760 529600
5 2 496352 521776
4 2 521776 529600
3 2 529600 531228
2 2 531228 531430
3 3 529608 531232
4 3 521792 529616
3 3 529616 531232
4 4 521808 529624
5 3 496384 521824
4 3 521824 529624
3 3 529624 531232
4 4 521840 529632
5 4 496416 521856
4 4 521856 529632
5 5 496448 521872
6 2 437120 496480
5 2 496480 521872
4 2 521872 529632
3 2 529632 531232
2 2 531232 531430
3 3 529640 531236
4 3 521888 529648
3 3 529648 531236
4 4 521904 529656
5 3 496512 521920
4 3 521920 529656
3 3 529656 531236
4 4 521936 529664
5 4 496544 521952
4 4 521952 529664
5 5 496576 521968
6 3 437184 496608
5 3 496608 521968
4 3 521968 529664
3 3 529664 531236
4 4 521984 529672
5 4 496640 522000
4 4 522000 529672
5 5 496672 522016
6 4 437248 496704
5 4 496704 522016
4 4 522016 529672
5 5 496736 522032
6 5 437312 496768
5 5 496768 522032
6 6 437376 496800
7 1 335744 437440
6 1 437440 496800
5 1 496800 522032
4 1 522032 529672
3 1 529672 531236
2 1 531236 531430
1 1 531430 531441
2 2 531240 531432
3 2 529680 531244
2 2 531244 531432
3 3 529688 531248
4 2 522048 529696
3 2 529696 531248
2 2 531248 531432
3 3 529704 531252
4 3 522064 529712
3 3 529712 531252
4 4 522080 529720
5 2 496832 522096
4 2 522096 529720
3 2 529720 531252
2 2 531252 531432
3 3 529728 531256
4 3 522112 529736
3 3 529736 531256
4 4 522128 529744
5 3 496864 522144
4 3 522144 529744
3 3 529744 531256
4 4 522160 529752
5 4 496896 522176
4 4 522176 529752
5 5 496928 522192
6 2 437504 496960
5 2 496960 522192
4 2 522192 529752
3 2 529752 531256
2 2 531256 531432
3 3 529760 531260
4 3 522208 529768
3 3 529768 531260
4 4 522224 529776
5 3 496992 522240
4 3 522240 529776
3 3 529776 531260
4 4 522256 529784
5 4 497024 522272
4 4 522272 529784
5 5 497056 522288
6 3 437568 497088
5 3 497088 522288
4 3 522288 529784
3 3 529784 531260
4 4 522304 529792
5 4 497120 522320
4 4 522320 529792
5 5 497152 522336
6 4 437632 497184
5 4 497184 522336
4 4 522336 529792
5 5 497216 522352
6 5 437696 497248
5 5 497248 522352
6 6 437760 497280
7 2 335872 437824
6 2 437824 497280
5 2 497280 522352
4 2 522352 529792
3 2 529792 531260
2 2 531260 531432
3 3 529800 531264
4 3 522368 529808
3 3 529808 531264
4 4 522384 529816
5 3 497312 522400
4 3 522400 529816
3 3 529816 531264
4 4 522416 529824
5 4 497344 522432
4 4 522432 529824
5 5 497376 522448
6 3 437888 497408
5 3 497408 522448
4 3 522448 529824
3 3 529824 531264
4 4 522464 529832
5 4 497440 522480
4 4 522480 529832
5 5 497472 522496
6 4 437952 497504
5 4 497504 522496
4 4 522496 529832
5 5 497536 522512
6 5 438016 497568
5 5 497568 522512
6 6 438080 497600
7 3 336000 438144
6 3 438144 497600
5 3 497600 522512
4 3 522512 529832
3 3 529832 531264
4 4 522528 529840
5 4 497632 522544
4 4 522544 529840
5 5 497664 522560
6 4 438208 497696
5 4 497696 522560
4 4 522560 529840
5 5 497728 522576
6 5 438272 497760
5 5 497760 522576
