# rem_bits first_diff input_index output_index
15 0 0 32768
14 0 32768 278528
13 0 278528 1138688
12 0 1138688 3002368
11 0 3002368 5797888
10 0 5797888 8872960
9 0 8872960 11435520
8 0 11435520 13082880
7 0 13082880 13906560
6 0 13906560 14226880
5 0 14226880 14322976
4 0 14322976 14344816
3 0 14344816 14348456
2 0 14348456 14348876
1 0 14348876 14348906
1 1 14348878 14348907
2 1 14348460 14348880
1 1 14348880 14348907
2 2 14348464 14348882
3 1 14344824 14348468
2 1 14348468 14348882
1 1 14348882 14348907
2 2 14348472 14348884
3 2 14344832 14348476
2 2 14348476 14348884
3 3 14344840 14348480
4 1 14322992 14344848
3 1 14344848 14348480
2 1 14348480 14348884
1 1 14348884 14348907
2 2 14348484 14348886
3 2 14344856 14348488
2 2 14348488 14348886
3 3 14344864 14348492
4 2 14323008 14344872
3 2 14344872 14348492
2 2 14348492 14348886
3 3 14344880 14348496
4 3 14323024 14344888
3 3 14344888 14348496
4 4 14323040 14344896
5 1 14226912 14323056
4 1 14323056 14344896
3 1 14344896 14348496
2 1 14348496 14348886
1 1 14348886 14348907
2 2 14348500 14348888
3 2 14344904 14348504
2 2 14348504 14348888
3 3 14344912 14348508
4 2 14323072 14344920
3 2 14344920 14348508
2 2 14348508 14348888
3 3 14344928 14348512
4 3 14323088 14344936
3 3 14344936 14348512
4 4 14323104 14344944
5 2 14226944 14323120
4 2 14323120 14344944
3 2 14344944 14348512
2 2 14348512 14348888
3 3 14344952 14348516
4 3 14323136 14344960
3 3 14344960 14348516
4 4 14323152 14344968
5 3 14226976 14323168
4 3 14323168 14344968
3 3 14344968 14348516
4 4 14323184 14344976
5 4 14227008 14323200
4 4 14323200 14344976
5 5 14227040 14323216
6 1 13906624 14227072
5 1 14227072 14323216
4 1 14323216 14344976
3 1 14344976 14348516
2 1 14348516 14348888
1 1 14348888 14348907
2 2 14348520 14348890
3 2 14344984 14348524
2 2 14348524 14348890
3 3 14344992 14348528
4 2 14323232 14345000
3 2 14345000 14348528
2 2 14348528 14348890
3 3 14345008 14348532
4 3 14323248 14345016
3 3 14345016 14348532
4 4 14323264 14345024
5 2 14227104 14323280
4 2 14323280 14345024
3 2 14345024 14348532
2 2 14348532 14348890
3 3 14345032 14348536
4 3 14323296 14345040
3 3 14345040 14348536
4 4 14323312 14345048
5 3 14227136 14323328
4 3 14323328 14345048
3 3 14345048 14348536
4 4 14323344 14345056
5 4 14227168 14323360
4 4 14323360 14345056
5 5 14227200 14323376
6 2 13906688 14227232
5 2 14227232 14323376
4 2 14323376 14345056
3 2 14345056 14348536
2 2 14348536 14348890
3 3 14345064 14348540
4 3 14323392 14345072
3 3 14345072 14348540
4 4 14323408 14345080
5 3 14227264 14323424
4 3 14323424 14345080
3 3 14345080 14348540
4 4 14323440 14345088
5 4 14227296 14323456
4 4 14323456 14345088
5 5 14227328 14323472
6 3 13906752 14227360
5 3 14227360 14323472
4 3 14323472 14345088
3 3 14345088 14348540
4 4 14323488 14345096
5 4 14227392 14323504
4 4 14323504 14345096
5 5 14227424 14323520
6 4 13906816 14227456
5 4 14227456 14323520
4 4 14323520 14345096
5 5 14227488 14323536
6 5 13906880 14227520
5 5 14227520 14323536
6 6 13906944 14227552
7 1 13083008 13907008
6 1 13907008 14227552
5 1 14227552 14323536
4 1 14323536 14345096
3 1 14345096 14348540
2 1 14348540 14348890
1 1 14348890 14348907
2 2 14348544 14348892
3 2 14345104 14348548
2 2 14348548 14348892
3 3 14345112 14348552
4 2 14323552 14345120
3 2 14345120 14348552
2 2 14348552 14348892
3 3 14345128 14348556
4 3 14323568 14345136
3 3 14345136 14348556
4 4 14323584 14345144
5 2 14227584 14323600
4 2 14323600 14345144
3 2 14345144 14348556
2 2 14348556 14348892
3 3 14345152 14348560
4 3 14323616 14345160
3 3 14345160 14348560
4 4 14323632 14345168
5 3 14227616 14323648
4 3 14323648 14345168
3 3 14345168 14348560
4 4 14323664 14345176
5 4 14227648 14323680
4 4 14323680 14345176
5 5 14227680 14323696
6 2 13907072 14227712
5 2 14227712 14323696
4 2 14323696 14345176
3 2 14345176 14348560
2 2 14348560 14348892
3 3 14345184 14348564
4 3 14323712 14345192
3 3 14345192 14348564
4 4 14323728 14345200
5 3 14227744 14323744
4 3 14323744 14345200
3 3 14345200 14348564
4 4 14323760 14345208
5 4 14227776 14323776
4 4 14323776 14345208
5 5 14227808 14323792
6 3 13907136 14227840
5 3 14227840 14323792
4 3 14323792 14345208
3 3 14345208 14348564
4 4 14323808 14345216
5 4 14227872 14323824
4 4 14323824 14345216
5 5 14227904 14323840
6 4 13907200 14227936
5 4 14227936 14323840
4 4 14323840 14345216
5 5 14227968 14323856
6 5 13907264 14228000
5 5 14228000 14323856
6 6 13907328 14228032
7 2 13083136 13907392
6 2 13907392 14228032
5 2 14228032 14323856
4 2 14323856 14345216
3 2 14345216 14348564
2 2 14348564 14348892
3 3 14345224 14348568
4 3 14323872 14345232
3 3 14345232 14348568
4 4 14323888 14345240
5 3 14228064 14323904
4 3 14323904 14345240
3 3 14345240 14348568
4 4 14323920 14345248
5 4 14228096 14323936
4 4 14323936 14345248
5 5 14228128 14323952
6 3 13907456 14228160
5 3 14228160 14323952
4 3 14323952 14345248
3 3 14345248 14348568
4 4 14323968 14345256
5 4 14228192 14323984
4 4 14323984 14345256
5 5 14228224 14324000
6 4 13907520 14228256
5 4 14228256 14324000
4 4 14324000 14345256
5 5 14228288 14324016
6 5 13907584 14228320
5 5 14228320 14324016
6 6 13907648 14228352
7 3 13083264 13907712
6 3 13907712 14228352
5 3 14228352 14324016
4 3 14324016 14345256
3 3 14345256 14348568
4 4 14324032 14345264
5 4 14228384 14324048
4 4 14324048 14345264
5 5 14228416 14324064
6 4 13907776 14228448
5 4 14228448 14324064
4 4 14324064 14345264
5 5 14228480 14324080
6 5 13907840 14228512
5 5 14228512 14324080
6 6 13907904 14228544
7 4 13083392 13907968
6 4 13907968 14228544
5 4 14228544 14324080
4 4 14324080 14345264
5 5 14228576 14324096
6 5 13908032 14228608
5 5 14228608 14324096
6 6 13908096 14228640
7 5 13083520 13908160
6 5 13908160 14228640
5 5 14228640 14324096
6 6 13908224 14228672
7 6 13083648 13908288
6 6 13908288 14228672
7 7 13083776 13908352
8 1 11435776 13083904
7 1 13083904 13908352
6 1 13908352 14228672
5 1 14228672 14324096
4 1 14324096 14345264
3 1 14345264 14348568
2 1 14348568 14348892
1 1 14348892 14348907
2 2 14348572 14348894
3 2 14345272 14348576
2 2 14348576 14348894
3 3 14345280 14348580
4 2 14324112 14345288
3 2 14345288 14348580
2 2 14348580 14348894
3 3 14345296 14348584
4 3 14324128 14345304
3 3 14345304 14348584
4 4 14324144 14345312
5 2 14228704 14324160
