"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Average Latency (cycles)","Module","Function (Full)","Source File","Start Address"
"__mod_node_page_state","0.00200893","0","0","11764284","20587497","0","0","vmlinux","__mod_node_page_state","[Unknown]","0xffffffff9bd4d880"
"down_read_trylock","0.00200893","0","0","8823213","6862499","0","4","vmlinux","down_read_trylock","[Unknown]","0xffffffff9bb46740"
"free_unref_folios","0.00200893","0","0","31371424","44116065","0","3.57143","vmlinux","free_unref_folios","[Unknown]","0xffffffff9bda4bc0"
"sched_clock","0.00200893","0","0","0","5882142","0","0","vmlinux","sched_clock","[Unknown]","0xffffffff9ba4d8b0"
"free_unref_page_commit","0.00200893","0","0","24508925","27449996","0","2.5","vmlinux","free_unref_page_commit","[Unknown]","0xffffffff9bda2540"
"nmi_cpu_backtrace","0.00100446","0","0","980357","0","0","5","vmlinux","nmi_cpu_backtrace","[Unknown]","0xffffffff9c67ac80"
"get_vma_policy","0.00100446","0","0","2941071","980357","0","15","vmlinux","get_vma_policy","[Unknown]","0xffffffff9bdde050"
"folio_add_lru","0.00100446","0","0","1960714","2941071","0","0","vmlinux","folio_add_lru","[Unknown]","0xffffffff9bd2dfc0"
"__mem_cgroup_charge","0.00100446","0","0","4901785","1960714","0","0","vmlinux","__mem_cgroup_charge","[Unknown]","0xffffffff9be104e0"
"pv_native_get_debugreg","0.00100446","0","0","0","0","0","0","vmlinux","pv_native_get_debugreg","[Unknown]","0xffffffff9c6e9080"
"zap_huge_pmd","0.00100446","0","0","0","0","0","0","vmlinux","zap_huge_pmd","[Unknown]","0xffffffff9bdfad00"
"pte_offset_map_nolock","0.00100446","0","0","3921428","1960714","0","5","vmlinux","pte_offset_map_nolock","[Unknown]","0xffffffff9bd8c070"
"free_tail_page_prepare","0.00100446","0","0","0","0","0","0","vmlinux","free_tail_page_prepare","[Unknown]","0xffffffff9bd9ef30"
"timerqueue_add","0.00100446","0","0","0","0","0","0","vmlinux","timerqueue_add","[Unknown]","0xffffffff9c680f70"
"__vmf_anon_prepare","0.00100446","0","0","3921428","0","0","5","vmlinux","__vmf_anon_prepare","[Unknown]","0xffffffff9bd71d20"
"pte_alloc_one","0.00100446","0","0","0","0","0","0","vmlinux","pte_alloc_one","[Unknown]","0xffffffff9baa3e70"
"vma_interval_tree_insert","0.00100446","0","0","0","0","0","0","vmlinux","vma_interval_tree_insert","[Unknown]","0xffffffff9bd61fe0"
"get_signal","0.00100446","0","0","0","0","0","0","vmlinux","get_signal","[Unknown]","0xffffffff9bad88d0"
"__lock_task_sighand","0.00100446","0","0","0","0","0","0","vmlinux","__lock_task_sighand","[Unknown]","0xffffffff9bad4fe0"
"jiffies_to_msecs","0.00100446","0","0","0","0","0","0","vmlinux","jiffies_to_msecs","[Unknown]","0xffffffff9bb97950"
"update_vsyscall","0.00100446","0","0","0","0","0","0","vmlinux","update_vsyscall","[Unknown]","0xffffffff9bbb8c50"
"hrtimer_interrupt","0.00100446","0","0","0","0","0","0","vmlinux","hrtimer_interrupt","[Unknown]","0xffffffff9bb9f240"
"do_huge_pmd_anonymous_page","0.00100446","0","0","0","0","0","0","vmlinux","do_huge_pmd_anonymous_page","[Unknown]","0xffffffff9be00430"
"nmi_cpu_backtrace_handler","0.00100446","0","0","0","0","0","0","vmlinux","nmi_cpu_backtrace_handler","[Unknown]","0xffffffff9ba88560"
"_find_next_bit","0.00100446","0","0","980357","0","0","0","vmlinux","_find_next_bit","[Unknown]","0xffffffff9c08f1e0"
"_raw_spin_unlock_irqrestore","0.00100446","0","0","0","0","0","0","vmlinux","_raw_spin_unlock_irqrestore","[Unknown]","0xffffffff9c6f7ab0"
"count_memcg_events.constprop.0","0.00100446","0","0","2941071","1960714","0","0","vmlinux","count_memcg_events.constprop.0","[Unknown]","0xffffffff9bd6cd90"
"uprobe_deny_signal","0.00100446","0","0","0","0","0","0","vmlinux","uprobe_deny_signal","[Unknown]","0xffffffff9bd126e0"
"alloc_pages_mpol_noprof","0.00100446","0","0","6862499","0","0","5","vmlinux","alloc_pages_mpol_noprof","[Unknown]","0xffffffff9bdde660"
"vma_alloc_folio_noprof","0.00100446","0","0","3921428","1960714","0","5","vmlinux","vma_alloc_folio_noprof","[Unknown]","0xffffffff9bddeb20"
"perf_event_nmi_handler","0.00100446","0","0","980357","2941071","0","0","vmlinux","perf_event_nmi_handler","[Unknown]","0xffffffff9ba0ec50"
"folio_mapping","0.00100446","0","0","0","0","0","0","vmlinux","folio_mapping","[Unknown]","0xffffffff9bd4b450"
"exc_page_fault","0.00100446","","0","3921428","0","0","0","vmlinux","exc_page_fault","[Unknown]","0xffffffff9c6e9450"
"__folio_batch_add_and_move","0.00100446","1","0","980357","2941071","0","5","vmlinux","__folio_batch_add_and_move","[Unknown]","0xffffffff9bd2df00"
"_find_first_bit","0.00100446","0","0","0","0","0","0","vmlinux","_find_first_bit","[Unknown]","0xffffffff9c08ef90"
"pud_val","0.00100446","0","0","3921428","0","0","5","vmlinux","pud_val","[Unknown]","0xffffffff9bd6c7f0"
"vm_normal_page","0.00100446","0","0","5882142","5882142","0","5","vmlinux","vm_normal_page","[Unknown]","0xffffffff9bd6fc90"
"folio_batch_move_lru","0.00100446","0.5","","980357","2941071","0","0","vmlinux","folio_batch_move_lru","[Unknown]","0xffffffff9bd2dde0"
"folio_add_new_anon_rmap","0.00100446","0","0","6862499","3921428","0","5","vmlinux","folio_add_new_anon_rmap","[Unknown]","0xffffffff9bd8e780"
